County,Date,Cases,Deaths,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region,total.pop
Aitkin,5/2/2020,1,0,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast,15841
Anoka,5/2/2020,260,14,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,344861
Becker,5/2/2020,10,0,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,33552
Beltrami,5/2/2020,6,0,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,45847
Benton,5/2/2020,29,1,009,C,Urban/town/rural mix,EDR 7W- Central,Central,39360
Big Stone,5/2/2020,2,0,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,5039
Blue Earth,5/2/2020,41,0,013,D,Entirely urban,EDR 9 - South Central,Southwest,65767
Brown,5/2/2020,8,1,015,B,Town/rural mix,EDR 9 - South Central,Southwest,25243
Carlton,5/2/2020,59,0,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,35408
Carver,5/2/2020,25,0,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,98799
Cass,5/2/2020,7,0,021,B,Town/rural mix,EDR 5 - North Central,Northwest,28810
Chippewa,5/2/2020,2,0,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,12040
Chisago,5/2/2020,13,1,025,D,Entirely urban,EDR 7E- East Central,Central,54297
Clay,5/2/2020,169,13,027,D,Entirely urban,EDR 4 - West Central,Northwest,62040
Clearwater,5/2/2020,2,0,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest,8824
Cook,5/2/2020,NA,NA,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast,5270
Cottonwood,5/2/2020,27,0,033,B,Town/rural mix,EDR 8 - Southwest,Southwest,11437
Crow Wing,5/2/2020,21,1,035,B,Town/rural mix,EDR 5 - North Central,Northwest,63505
Dakota,5/2/2020,189,11,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,414655
Dodge,5/2/2020,22,0,039,D,Entirely urban,EDR 10 - Southeast,Southeast,20485
Douglas,5/2/2020,3,0,041,B,Town/rural mix,EDR 4 - West Central,Northwest,36891
Faribault,5/2/2020,6,0,043,B,Town/rural mix,EDR 9 - South Central,Southwest,13966
Fillmore,5/2/2020,13,1,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,20825
Freeborn,5/2/2020,35,0,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,30619
Goodhue,5/2/2020,21,0,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,46138
Grant,5/2/2020,1,0,051,A,Entirely rural,EDR 4 - West Central,Northwest,5923
Hennepin,5/2/2020,1980,259,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,1224763
Houston,5/2/2020,1,0,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,18709
Hubbard,5/2/2020,NA,NA,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest,20743
Isanti,5/2/2020,6,0,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,38584
Itasca,5/2/2020,7,0,061,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,45237
Jackson,5/2/2020,18,0,063,B,Town/rural mix,EDR 8 - Southwest,Southwest,10104
Kanabec,5/2/2020,1,0,065,C,Urban/town/rural mix,EDR 7E- East Central,Central,15948
Kandiyohi,5/2/2020,145,1,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,42577
Kittson,5/2/2020,1,0,069,A,Entirely rural,EDR 1 - Northwest,Northwest,4384
Koochiching,5/2/2020,1,0,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,12776
Lac qui Parle,5/2/2020,1,0,073,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,6840
Lake,5/2/2020,NA,NA,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,10578
Lake of the Woods,5/2/2020,NA,NA,077,A,Entirely rural,EDR 2 - Headwaters,Northwest,3841
Le Sueur,5/2/2020,25,0,079,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,27810
Lincoln,5/2/2020,3,0,081,A,Entirely rural,EDR 8 - Southwest,Southwest,5724
Lyon,5/2/2020,8,0,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,25789
Mahnomen,5/2/2020,2,0,087,A,Entirely rural,EDR 2 - Headwaters,Northwest,5500
Marshall,5/2/2020,3,0,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,9397
Martin,5/2/2020,110,4,091,B,Town/rural mix,EDR 9 - South Central,Southwest,20084
McLeod,5/2/2020,4,0,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,35816
Meeker,5/2/2020,14,0,093,B,Town/rural mix,EDR 6E- Southwest Central,Central,23105
Mille Lacs,5/2/2020,2,1,095,C,Urban/town/rural mix,EDR 7E- East Central,Central,25635
Morrison,5/2/2020,6,0,097,B,Town/rural mix,EDR 5 - North Central,Northwest,32880
Mower,5/2/2020,28,0,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,39386
Murray,5/2/2020,16,0,101,A,Entirely rural,EDR 8 - Southwest,Southwest,8394
Nicollet,5/2/2020,15,2,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,33477
Nobles,5/2/2020,899,1,105,B,Town/rural mix,EDR 8 - Southwest,Southwest,21854
