County,Date,Cases,Deaths,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region
Aitkin,5/2/2020,1,0,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Anoka,5/2/2020,260,14,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Becker,5/2/2020,10,0,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
Beltrami,5/2/2020,6,0,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Benton,5/2/2020,29,1,009,C,Urban/town/rural mix,EDR 7W- Central,Central
Big Stone,5/2/2020,2,0,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Blue Earth,5/2/2020,41,0,013,D,Entirely urban,EDR 9 - South Central,Southwest
Brown,5/2/2020,8,1,015,B,Town/rural mix,EDR 9 - South Central,Southwest
Carlton,5/2/2020,59,0,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Carver,5/2/2020,25,0,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Cass,5/2/2020,7,0,021,B,Town/rural mix,EDR 5 - North Central,Northwest
Chippewa,5/2/2020,2,0,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Chisago,5/2/2020,13,1,025,D,Entirely urban,EDR 7E- East Central,Central
Clay,5/2/2020,169,13,027,D,Entirely urban,EDR 4 - West Central,Northwest
Clearwater,5/2/2020,2,0,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Cook,5/2/2020,NA,NA,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Cottonwood,5/2/2020,27,0,033,B,Town/rural mix,EDR 8 - Southwest,Southwest
Crow Wing,5/2/2020,21,1,035,B,Town/rural mix,EDR 5 - North Central,Northwest
Dakota,5/2/2020,189,11,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dodge,5/2/2020,22,0,039,D,Entirely urban,EDR 10 - Southeast,Southeast
Douglas,5/2/2020,3,0,041,B,Town/rural mix,EDR 4 - West Central,Northwest
Faribault,5/2/2020,6,0,043,B,Town/rural mix,EDR 9 - South Central,Southwest
Fillmore,5/2/2020,13,1,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Freeborn,5/2/2020,35,0,047,B,Town/rural mix,EDR 10 - Southeast,Southeast
Goodhue,5/2/2020,21,0,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Grant,5/2/2020,1,0,051,A,Entirely rural,EDR 4 - West Central,Northwest
Hennepin,5/2/2020,1980,259,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Houston,5/2/2020,1,0,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Hubbard,5/2/2020,NA,NA,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest
