County,Date,Cases,Deaths
Aitkin,5/15/2020,2,0
Anoka,5/15/2020,726,38
Becker,5/15/2020,31,0
Beltrami,5/15/2020,9,0
Benton,5/15/2020,117,2
Big Stone,5/15/2020,2,0
Blue Earth,5/15/2020,76,0
Brown,5/15/2020,10,2
Carlton,5/15/2020,66,0
Carver,5/15/2020,105,2
Cass,5/15/2020,8,2
Chippewa,5/15/2020,27,0
Chisago,5/15/2020,27,1
Clay,5/15/2020,279,18
Clearwater,5/15/2020,2,0
Cook,5/15/2020,0,0
Cottonwood,5/15/2020,52,0
Crow Wing,5/15/2020,25,1
Dakota,5/15/2020,623,17
Dodge,5/15/2020,30,0
Douglas,5/15/2020,18,0
Faribault,5/15/2020,12,0
Fillmore,5/15/2020,17,1
Freeborn,5/15/2020,55,0
Goodhue,5/15/2020,29,0
Grant,5/15/2020,2,0
Hennepin,5/15/2020,"4,674",449
Houston,5/15/2020,2,0
Hubbard,5/15/2020,0,0
Isanti,5/15/2020,16,0
Itasca,5/15/2020,42,4
Jackson,5/15/2020,34,0
Kanabec,5/15/2020,9,0
Kandiyohi,5/15/2020,394,1
Kittson,5/15/2020,1,0
Koochiching,5/15/2020,3,0
Lac qui Parle,5/15/2020,2,0
Lake,5/15/2020,1,0
Lake of the Woods,5/15/2020,0,0
Le Sueur,5/15/2020,33,1
Lincoln,5/15/2020,4,0
Lyon,5/15/2020,25,0
McLeod ,5/15/2020,15,0
Mahnomen ,5/15/2020,5,1
Marshall ,5/15/2020,8,0
Martin ,5/15/2020,114,4
Meeker ,5/15/2020,24,0
Mille Lacs ,5/15/2020,8,1
Morrison ,5/15/2020,23,0
Mower ,5/15/2020,54,0
Murray ,5/15/2020,30,0
Nicollet,5/15/2020,28,2
Nobles,5/15/2020,"1,342",2
Norman,5/15/2020,11,0
Olmsted,5/15/2020,417,9
Otter Tail,5/15/2020,35,0
Pennington,5/15/2020,1,0
Pine,5/15/2020,82,0
Pipestone,5/15/2020,9,0
Polk,5/15/2020,55,2
Pope,5/15/2020,5,0
Ramsey,5/15/2020,"1,287",61
Red Lake,5/15/2020,2,0
Redwood,5/15/2020,3,0
Renville,5/15/2020,5,0
Rice,5/15/2020,197,2
Rock,5/15/2020,19,0
Roseau,5/15/2020,1,0
St. Louis ,5/15/2020,100,12
Scott ,5/15/2020,207,1
Sherburne ,5/15/2020,135,1
Sibley ,5/15/2020,4,0
Stearns ,5/15/2020,"1,641",9
Steele ,5/15/2020,92,0
Stevens,5/15/2020,0,0
Swift,5/15/2020,11,0
Todd,5/15/2020,46,0
Traverse,5/15/2020,3,0
Wabasha,5/15/2020,16,0
Wadena,5/15/2020,4,0
Waseca,5/15/2020,19,0
Washington,5/15/2020,305,18
Watonwan,5/15/2020,33,0
Wilkin,5/15/2020,11,3
Winona,5/15/2020,75,15
Wright,5/15/2020,140,1
Yellow Medicine,5/15/2020,3,0
Unknown/missing,5/15/2020,25,0
Aitkin,5/16/2020,3,0
Anoka,5/16/2020,770,40
Becker,5/16/2020,33,0
Beltrami,5/16/2020,9,0
Benton,5/16/2020,122,2
Big Stone,5/16/2020,2,0
Blue Earth,5/16/2020,79,0
Brown,5/16/2020,10,2
Carlton,5/16/2020,66,0
Carver,5/16/2020,111,2
Cass,5/16/2020,9,2
Chippewa,5/16/2020,28,0
Chisago,5/16/2020,30,1
Clay,5/16/2020,291,19
Clearwater,5/16/2020,2,0
Cook,5/16/2020,0,0
Cottonwood,5/16/2020,54,0
Crow Wing,5/16/2020,24,1
Dakota,5/16/2020,666,18
Dodge,5/16/2020,34,0
Douglas,5/16/2020,18,0
Faribault,5/16/2020,9,0
Fillmore,5/16/2020,17,1
Freeborn,5/16/2020,61,0
Goodhue,5/16/2020,32,0
Grant,5/16/2020,2,0
Hennepin,5/16/2020,"4,930",454
Houston,5/16/2020,2,0
Hubbard,5/16/2020,0,0
Isanti,5/16/2020,17,0
Itasca,5/16/2020,43,4
Jackson,5/16/2020,35,0
Kanabec,5/16/2020,9,0
Kandiyohi,5/16/2020,405,1
Kittson,5/16/2020,1,0
Koochiching,5/16/2020,3,0
Lac qui Parle,5/16/2020,2,0
Lake,5/16/2020,1,0
Lake of the Woods,5/16/2020,0,0
Le Sueur,5/16/2020,34,1
Lincoln,5/16/2020,4,0
Lyon,5/16/2020,25,0
McLeod ,5/16/2020,16,0
Mahnomen ,5/16/2020,5,1
Marshall ,5/16/2020,8,0
Martin ,5/16/2020,117,5
Meeker ,5/16/2020,32,0
Mille Lacs ,5/16/2020,9,1
Morrison ,5/16/2020,24,0
Mower ,5/16/2020,56,0
Murray ,5/16/2020,31,0
Nicollet,5/16/2020,33,2
Nobles,5/16/2020,"1,353",2
Norman,5/16/2020,11,0
Olmsted,5/16/2020,435,9
Otter Tail,5/16/2020,36,0
Pennington,5/16/2020,1,0
Pine,5/16/2020,83,0
Pipestone,5/16/2020,9,0
Polk,5/16/2020,55,2
Pope,5/16/2020,5,0
Ramsey,5/16/2020,"1,416",67
Red Lake,5/16/2020,3,0
Redwood,5/16/2020,3,0
Renville,5/16/2020,5,0
Rice,5/16/2020,221,2
Rock,5/16/2020,20,0
Roseau,5/16/2020,1,0
St. Louis ,5/16/2020,101,12
Scott ,5/16/2020,223,1
Sherburne ,5/16/2020,144,1
Sibley ,5/16/2020,7,0
Stearns ,5/16/2020,"1,675",10
Steele ,5/16/2020,100,0
Stevens,5/16/2020,0,0
Swift,5/16/2020,12,0
Todd,5/16/2020,52,0
Traverse,5/16/2020,3,0
Wabasha,5/16/2020,16,0
Wadena,5/16/2020,4,0
Waseca,5/16/2020,20,0
Washington,5/16/2020,326,18
Watonwan,5/16/2020,36,0
Wilkin,5/16/2020,11,3
Winona,5/16/2020,75,15
Wright,5/16/2020,152,1
Yellow Medicine,5/16/2020,3,0
Unknown/missing,5/16/2020,28,0  
