County,Date,Cases,Deaths,County,Date,Cases,Deaths,County,Date,Cases,Deaths,County,Date,Cases,Deaths,County,Date,Cases,Deaths,County,Date,Cases,Deaths,County,Date,Cases,Deaths,County,Date,Cases,Deaths,County,Date,Cases,Deaths,County,Date,Cases,Deaths,County,Date,Cases,Deaths
Aitkin,5/2/2020,1,0,Aitkin,5/3/2020,1,0,Aitkin,5/4/2020,1,0,Aitkin,5/5/2020,1,0,Aitkin,5/6/2020,1,0,Aitkin,5/7/2020,1,0,Aitkin,5/8/2020,2,0,Aitkin,5/9/2020,2,0,Aitkin,5/10/2020,2,0,Aitkin,5/11/2020,2,0,Aitkin,5/12/2020,2,0
Anoka,5/2/2020,260,14,Anoka,5/3/2020,281,17,Anoka,5/4/2020,299,17,Anoka,5/5/2020,344,20,Anoka,5/6/2020,382,24,Anoka,5/7/2020,426,27,Anoka,5/8/2020,477,27,Anoka,5/9/2020,518,29,Anoka,5/10/2020,549,29,Anoka,5/11/2020,571,29,Anoka,5/12/2020,613,31
Becker,5/2/2020,10,0,Becker,5/3/2020,10,0,Becker,5/4/2020,13,0,Becker,5/5/2020,15,0,Becker,5/6/2020,16,0,Becker,5/7/2020,18,0,Becker,5/8/2020,22,0,Becker,5/9/2020,25,0,Becker,5/10/2020,25,0,Becker,5/11/2020,25,0,Becker,5/12/2020,25,0
Beltrami,5/2/2020,6,0,Beltrami,5/3/2020,6,0,Beltrami,5/4/2020,6,0,Beltrami,5/5/2020,6,0,Beltrami,5/6/2020,6,0,Beltrami,5/7/2020,6,0,Beltrami,5/8/2020,6,0,Beltrami,5/9/2020,6,0,Beltrami,5/10/2020,6,0,Beltrami,5/11/2020,6,0,Beltrami,5/12/2020,6,0
Benton,5/2/2020,29,1,Benton,5/3/2020,32,1,Benton,5/4/2020,35,1,Benton,5/5/2020,48,1,Benton,5/6/2020,59,1,Benton,5/7/2020,64,1,Benton,5/8/2020,76,2,Benton,5/9/2020,87,2,Benton,5/10/2020,92,2,Benton,5/11/2020,93,2,Benton,5/12/2020,100,2
Big Stone,5/2/2020,2,0,Big Stone,5/3/2020,2,0,Big Stone,5/4/2020,2,0,Big Stone,5/5/2020,2,0,Big Stone,5/6/2020,2,0,Big Stone,5/7/2020,2,0,Big Stone,5/8/2020,2,0,Big Stone,5/9/2020,2,0,Big Stone,5/10/2020,2,0,Big Stone,5/11/2020,2,0,Big Stone,5/12/2020,2,0
Blue Earth,5/2/2020,41,0,Blue Earth,5/3/2020,46,0,Blue Earth,5/4/2020,50,0,Blue Earth,5/5/2020,51,0,Blue Earth,5/6/2020,53,0,Blue Earth,5/7/2020,55,0,Blue Earth,5/8/2020,55,0,Blue Earth,5/9/2020,64,0,Blue Earth,5/10/2020,65,0,Blue Earth,5/11/2020,67,0,Blue Earth,5/12/2020,67,0
Brown,5/2/2020,8,1,Brown,5/3/2020,8,1,Brown,5/4/2020,9,1,Brown,5/5/2020,9,1,Brown,5/6/2020,9,1,Brown,5/7/2020,9,1,Brown,5/8/2020,9,1,Brown,5/9/2020,9,1,Brown,5/10/2020,9,1,Brown,5/11/2020,9,1,Brown,5/12/2020,9,1
Carlton,5/2/2020,59,0,Carlton,5/3/2020,60,0,Carlton,5/4/2020,60,0,Carlton,5/5/2020,60,0,Carlton,5/6/2020,61,0,Carlton,5/7/2020,62,0,Carlton,5/8/2020,64,0,Carlton,5/9/2020,64,0,Carlton,5/10/2020,64,0,Carlton,5/11/2020,64,0,Carlton,5/12/2020,65,0
Carver,5/2/2020,25,0,Carver,5/3/2020,26,0,Carver,5/4/2020,27,0,Carver,5/5/2020,39,0,Carver,5/6/2020,51,0,Carver,5/7/2020,58,0,Carver,5/8/2020,69,0,Carver,5/9/2020,78,1,Carver,5/10/2020,82,1,Carver,5/11/2020,92,1,Carver,5/12/2020,95,1
Cass,5/2/2020,7,0,Cass,5/3/2020,7,0,Cass,5/4/2020,7,0,Cass,5/5/2020,7,0,Cass,5/6/2020,7,0,Cass,5/7/2020,7,0,Cass,5/8/2020,7,0,Cass,5/9/2020,8,0,Cass,5/10/2020,8,1,Cass,5/11/2020,8,1,Cass,5/12/2020,8,2
Chippewa,5/2/2020,2,0,Chippewa,5/3/2020,3,0,Chippewa,5/4/2020,3,0,Chippewa,5/5/2020,3,0,Chippewa,5/6/2020,4,0,Chippewa,5/7/2020,5,0,Chippewa,5/8/2020,5,0,Chippewa,5/9/2020,5,0,Chippewa,5/10/2020,6,0,Chippewa,5/11/2020,14,0,Chippewa,5/12/2020,21,0
Chisago,5/2/2020,13,1,Chisago,5/3/2020,13,1,Chisago,5/4/2020,13,1,Chisago,5/5/2020,13,1,Chisago,5/6/2020,14,1,Chisago,5/7/2020,14,1,Chisago,5/8/2020,18,1,Chisago,5/9/2020,19,1,Chisago,5/10/2020,20,1,Chisago,5/11/2020,20,1,Chisago,5/12/2020,23,1
Clay,5/2/2020,169,13,Clay,5/3/2020,176,13,Clay,5/4/2020,190,13,Clay,5/5/2020,201,14,Clay,5/6/2020,215,14,Clay,5/7/2020,222,15,Clay,5/8/2020,229,15,Clay,5/9/2020,233,16,Clay,5/10/2020,235,17,Clay,5/11/2020,247,17,Clay,5/12/2020,254,17
Clearwater,5/2/2020,2,0,Clearwater,5/3/2020,2,0,Clearwater,5/4/2020,2,0,Clearwater,5/5/2020,2,0,Clearwater,5/6/2020,2,0,Clearwater,5/7/2020,2,0,Clearwater,5/8/2020,2,0,Clearwater,5/9/2020,2,0,Clearwater,5/10/2020,2,0,Clearwater,5/11/2020,2,0,Clearwater,5/12/2020,2,0
Cottonwood,5/2/2020,27,0,Cottonwood,5/3/2020,28,0,Cottonwood,5/4/2020,37,0,Cottonwood,5/5/2020,41,0,Cottonwood,5/6/2020,42,0,Cottonwood,5/7/2020,43,0,Cottonwood,5/8/2020,43,0,Cottonwood,5/9/2020,45,0,Cottonwood,5/10/2020,46,0,Cottonwood,5/11/2020,47,0,Cottonwood,5/12/2020,47,0
Crow Wing,5/2/2020,21,1,Crow Wing,5/3/2020,21,1,Crow Wing,5/4/2020,21,1,Crow Wing,5/5/2020,21,1,Crow Wing,5/6/2020,21,1,Crow Wing,5/7/2020,23,1,Crow Wing,5/8/2020,24,1,Crow Wing,5/9/2020,24,1,Crow Wing,5/10/2020,23,1,Crow Wing,5/11/2020,23,1,Crow Wing,5/12/2020,23,1
Dakota,5/2/2020,189,11,Dakota,5/3/2020,202,11,Dakota,5/4/2020,215,11,Dakota,5/5/2020,241,11,Dakota,5/6/2020,292,12,Dakota,5/7/2020,322,12,Dakota,5/8/2020,364,12,Dakota,5/9/2020,408,15,Dakota,5/10/2020,430,15,Dakota,5/11/2020,471,15,Dakota,5/12/2020,508,15
Dodge,5/2/2020,22,0,Dodge,5/3/2020,22,0,Dodge,5/4/2020,21,0,Dodge,5/5/2020,21,0,Dodge,5/6/2020,21,0,Dodge,5/7/2020,21,0,Dodge,5/8/2020,24,0,Dodge,5/9/2020,24,0,Dodge,5/10/2020,26,0,Dodge,5/11/2020,26,0,Dodge,5/12/2020,26,0
Douglas,5/2/2020,3,0,Douglas,5/3/2020,3,0,Douglas,5/4/2020,7,0,Douglas,5/5/2020,10,0,Douglas,5/6/2020,12,0,Douglas,5/7/2020,14,0,Douglas,5/8/2020,15,0,Douglas,5/9/2020,15,0,Douglas,5/10/2020,16,0,Douglas,5/11/2020,16,0,Douglas,5/12/2020,17,0
Faribault,5/2/2020,6,0,Faribault,5/3/2020,6,0,Faribault,5/4/2020,7,0,Faribault,5/5/2020,7,0,Faribault,5/6/2020,8,0,Faribault,5/7/2020,7,0,Faribault,5/8/2020,7,0,Faribault,5/9/2020,10,0,Faribault,5/10/2020,12,0,Faribault,5/11/2020,10,0,Faribault,5/12/2020,10,0
Fillmore,5/2/2020,13,1,Fillmore,5/3/2020,13,1,Fillmore,5/4/2020,13,1,Fillmore,5/5/2020,12,1,Fillmore,5/6/2020,12,1,Fillmore,5/7/2020,12,1,Fillmore,5/8/2020,12,1,Fillmore,5/9/2020,12,1,Fillmore,5/10/2020,13,1,Fillmore,5/11/2020,13,1,Fillmore,5/12/2020,14,1
Freeborn,5/2/2020,35,0,Freeborn,5/3/2020,35,0,Freeborn,5/4/2020,36,0,Freeborn,5/5/2020,37,0,Freeborn,5/6/2020,38,0,Freeborn,5/7/2020,39,0,Freeborn,5/8/2020,41,0,Freeborn,5/9/2020,43,0,Freeborn,5/10/2020,44,0,Freeborn,5/11/2020,46,0,Freeborn,5/12/2020,46,0
Goodhue,5/2/2020,21,0,Goodhue,5/3/2020,21,0,Goodhue,5/4/2020,23,0,Goodhue,5/5/2020,23,0,Goodhue,5/6/2020,23,0,Goodhue,5/7/2020,25,0,Goodhue,5/8/2020,25,0,Goodhue,5/9/2020,25,0,Goodhue,5/10/2020,25,0,Goodhue,5/11/2020,25,0,Goodhue,5/12/2020,26,0
Grant,5/2/2020,1,0,Grant,5/3/2020,1,0,Grant,5/4/2020,1,0,Grant,5/5/2020,1,0,Grant,5/6/2020,1,0,Grant,5/7/2020,1,0,Grant,5/8/2020,2,0,Grant,5/9/2020,2,0,Grant,5/10/2020,2,0,Grant,5/11/2020,2,0,Grant,5/12/2020,2,0
Hennepin,5/2/2020,"1,980",259,Hennepin,5/3/2020,"2,151",277,Hennepin,5/4/2020,"2,298",284,Hennepin,5/5/2020,"2,519",303,Hennepin,5/6/2020,"2,764",325,Hennepin,5/7/2020,"2,962",342,Hennepin,5/8/2020,"3,153",362,Hennepin,5/9/2020,"3,379",374,Hennepin,5/10/2020,"3,558",389,Hennepin,5/11/2020,"3,744",398,Hennepin,5/12/2020,"4,033",412
Houston,5/2/2020,1,0,Houston,5/3/2020,1,0,Houston,5/4/2020,1,0,Houston,5/5/2020,1,0,Houston,5/6/2020,1,0,Houston,5/7/2020,2,0,Houston,5/8/2020,2,0,Houston,5/9/2020,2,0,Houston,5/10/2020,2,0,Houston,5/11/2020,2,0,Houston,5/12/2020,2,0
Isanti,5/2/2020,6,0,Isanti,5/3/2020,6,0,Isanti,5/4/2020,6,0,Isanti,5/5/2020,6,0,Isanti,5/6/2020,7,0,Isanti,5/7/2020,7,0,Isanti,5/8/2020,7,0,Isanti,5/9/2020,7,0,Isanti,5/10/2020,7,0,Isanti,5/11/2020,8,0,Isanti,5/12/2020,10,0
Itasca,5/2/2020,7,0,Itasca,5/3/2020,11,0,Itasca,5/4/2020,12,0,Itasca,5/5/2020,13,0,Itasca,5/6/2020,24,0,Itasca,5/7/2020,24,0,Itasca,5/8/2020,24,0,Itasca,5/9/2020,25,0,Itasca,5/10/2020,28,0,Itasca,5/11/2020,33,0,Itasca,5/12/2020,35,2
Jackson,5/2/2020,18,0,Jackson,5/3/2020,18,0,Jackson,5/4/2020,24,0,Jackson,5/5/2020,25,0,Jackson,5/6/2020,25,0,Jackson,5/7/2020,29,0,Jackson,5/8/2020,29,0,Jackson,5/9/2020,31,0,Jackson,5/10/2020,32,0,Jackson,5/11/2020,33,0,Jackson,5/12/2020,33,0
Kanabec,5/2/2020,1,0,Kanabec,5/3/2020,1,0,Kanabec,5/4/2020,1,0,Kanabec,5/5/2020,2,0,Kanabec,5/6/2020,2,0,Kanabec,5/7/2020,4,0,Kanabec,5/8/2020,5,0,Kanabec,5/9/2020,9,0,Kanabec,5/10/2020,9,0,Kanabec,5/11/2020,10,0,Kanabec,5/12/2020,10,0
