County,Date,Cases,Deaths
Aitkin,5/17/2020,3,0
Anoka,5/17/2020,821,40
Becker,5/17/2020,33,0
Beltrami,5/17/2020,9,0
Benton,5/17/2020,131,2
Big Stone,5/17/2020,2,0
Blue Earth,5/17/2020,83,0
Brown,5/17/2020,10,2
Carlton,5/17/2020,66,0
Carver,5/17/2020,113,2
Cass,5/17/2020,9,2
Chippewa,5/17/2020,30,0
Chisago,5/17/2020,34,1
Clay,5/17/2020,293,20
Clearwater,5/17/2020,2,0
Cook,5/17/2020,0,0
Cottonwood,5/17/2020,56,0
Crow Wing,5/17/2020,25,1
Dakota,5/17/2020,742,23
Dodge,5/17/2020,35,0
Douglas,5/17/2020,18,0
Faribault,5/17/2020,10,0
Fillmore,5/17/2020,17,1
Freeborn,5/17/2020,61,0
Goodhue,5/17/2020,33,0
Grant,5/17/2020,2,0
Hennepin,5/17/2020,"5,158",462
Houston,5/17/2020,2,0
Hubbard,5/17/2020,0,0
Isanti,5/17/2020,20,0
Itasca,5/17/2020,46,5
Jackson,5/17/2020,36,0
Kanabec,5/17/2020,9,0
Kandiyohi,5/17/2020,412,1
Kittson,5/17/2020,1,0
Koochiching,5/17/2020,3,0
Lac qui Parle,5/17/2020,2,0
Lake,5/17/2020,1,0
Lake of the Woods,5/17/2020,0,0
Le Sueur,5/17/2020,35,1
Lincoln,5/17/2020,4,0
Lyon,5/17/2020,26,0
McLeod ,5/17/2020,18,0
Mahnomen ,5/17/2020,5,1
Marshall ,5/17/2020,8,0
Martin ,5/17/2020,118,5
Meeker ,5/17/2020,34,0
Mille Lacs ,5/17/2020,10,1
Morrison ,5/17/2020,25,0
Mower ,5/17/2020,58,0
Murray ,5/17/2020,31,0
Nicollet,5/17/2020,37,3
Nobles,5/17/2020,"1,361",2
Norman,5/17/2020,11,0
Olmsted,5/17/2020,448,9
Otter Tail,5/17/2020,38,0
Pennington,5/17/2020,1,0
Pine,5/17/2020,83,0
Pipestone,5/17/2020,9,0
Polk,5/17/2020,55,2
Pope,5/17/2020,5,0
Ramsey,5/17/2020,"1,530",71
Red Lake,5/17/2020,3,0
Redwood,5/17/2020,3,0
Renville,5/17/2020,5,0
Rice,5/17/2020,240,2
Rock,5/17/2020,20,0
Roseau,5/17/2020,1,0
St. Louis ,5/17/2020,102,13
Scott ,5/17/2020,238,1
Sherburne ,5/17/2020,150,2
Sibley ,5/17/2020,9,0
Stearns ,5/17/2020,"1,713",10
Steele ,5/17/2020,105,0
Stevens,5/17/2020,0,0
Swift,5/17/2020,13,0
Todd,5/17/2020,60,0
Traverse,5/17/2020,3,0
Wabasha,5/17/2020,16,0
Wadena,5/17/2020,5,0
Waseca,5/17/2020,20,0
Washington,5/17/2020,363,18
Watonwan,5/17/2020,41,0
Wilkin,5/17/2020,11,3
Winona,5/17/2020,75,15
Wright,5/17/2020,162,1
Yellow Medicine,5/17/2020,3,0
Unknown/missing,5/17/2020,29,0  
,,,
,,,
