County,Date,Cases,Deaths
Aitkin,5/18/2020,4,0
Anoka,5/18/2020,869,42
Becker,5/18/2020,33,0
Beltrami,5/18/2020,9,0
Benton,5/18/2020,138,2
Big Stone,5/18/2020,3,0
Blue Earth,5/18/2020,87,0
Brown,5/18/2020,10,2
Carlton,5/18/2020,66,0
Carver,5/18/2020,117,2
Cass,5/18/2020,10,2
Chippewa,5/18/2020,32,0
Chisago,5/18/2020,37,1
Clay,5/18/2020,310,20
Clearwater,5/18/2020,2,0
Cook,5/18/2020,0,0
Cottonwood,5/18/2020,58,0
Crow Wing,5/18/2020,30,1
Dakota,5/18/2020,802,23
Dodge,5/18/2020,36,0
Douglas,5/18/2020,21,0
Faribault,5/18/2020,10,0
Fillmore,5/18/2020,17,1
Freeborn,5/18/2020,61,0
Goodhue,5/18/2020,34,0
Grant,5/18/2020,2,0
Hennepin,5/18/2020,"5,409",467
Houston,5/18/2020,2,0
Hubbard,5/18/2020,0,0
Isanti,5/18/2020,19,0
Itasca,5/18/2020,49,5
Jackson,5/18/2020,36,0
Kanabec,5/18/2020,9,0
Kandiyohi,5/18/2020,415,1
Kittson,5/18/2020,1,0
Koochiching,5/18/2020,5,0
Lac qui Parle,5/18/2020,3,0
Lake,5/18/2020,1,0
Lake of the Woods,5/18/2020,0,0
Le Sueur,5/18/2020,35,1
Lincoln,5/18/2020,4,0
Lyon,5/18/2020,26,0
McLeod ,5/18/2020,18,0
Mahnomen ,5/18/2020,5,1
Marshall ,5/18/2020,8,0
Martin ,5/18/2020,120,5
Meeker,5/18/2020,36,0
Mille Lacs ,5/18/2020,12,1
Morrison ,5/18/2020,27,0
Mower ,5/18/2020,65,0
Murray ,5/18/2020,33,0
Nicollet,5/18/2020,39,3
Nobles,5/18/2020,"1,387",2
Norman,5/18/2020,11,0
Olmsted,5/18/2020,461,9
Otter Tail,5/18/2020,47,0
Pennington,5/18/2020,2,0
Pine,5/18/2020,83,0
Pipestone,5/18/2020,10,0
Polk,5/18/2020,56,2
Pope,5/18/2020,5,0
Ramsey,5/18/2020,"1,625",72
Red Lake,5/18/2020,3,0
Redwood,5/18/2020,3,0
Renville,5/18/2020,5,0
Rice,5/18/2020,260,2
Rock,5/18/2020,20,0
Roseau,5/18/2020,1,0
St. Louis ,5/18/2020,105,13
Scott ,5/18/2020,259,1
Sherburne ,5/18/2020,155,2
Sibley ,5/18/2020,10,0
Stearns ,5/18/2020,"1,740",10
Steele ,5/18/2020,111,0
Stevens,5/18/2020,0,0
Swift,5/18/2020,13,0
Todd,5/18/2020,73,0
Traverse,5/18/2020,3,0
Wabasha,5/18/2020,16,0
Wadena,5/18/2020,5,0
Waseca,5/18/2020,20,0
Washington,5/18/2020,378,19
Watonwan,5/18/2020,41,0
Wilkin,5/18/2020,11,3
Winona,5/18/2020,75,15
Wright,5/18/2020,172,1
Yellow Medicine,5/18/2020,3,0
Unknown/missing,5/18/2020,28,0
Aitkin,5/19/2020,4,0
Anoka,5/19/2020,919,42
Becker,5/19/2020,32,0
Beltrami,5/19/2020,9,0
Benton,5/19/2020,142,2
Big Stone,5/19/2020,3,0
Blue Earth,5/19/2020,93,0
Brown,5/19/2020,10,2
Carlton,5/19/2020,67,0
Carver,5/19/2020,128,2
Cass,5/19/2020,11,2
Chippewa,5/19/2020,34,0
Chisago,5/19/2020,38,1
Clay,5/19/2020,318,21
Clearwater,5/19/2020,2,0
Cook,5/19/2020,0,0
Cottonwood,5/19/2020,59,0
Crow Wing,5/19/2020,30,1
Dakota,5/19/2020,841,25
Dodge,5/19/2020,39,0
Douglas,5/19/2020,23,0
Faribault,5/19/2020,11,0
Fillmore,5/19/2020,17,1
Freeborn,5/19/2020,63,0
Goodhue,5/19/2020,36,0
Grant,5/19/2020,2,0
Hennepin,5/19/2020,"5,650",476
Houston,5/19/2020,2,0
Hubbard,5/19/2020,0,0
Isanti,5/19/2020,19,0
Itasca,5/19/2020,49,6
Jackson,5/19/2020,36,0
Kanabec,5/19/2020,9,1
Kandiyohi,5/19/2020,420,1
Kittson,5/19/2020,1,0
Koochiching,5/19/2020,5,0
Lac qui Parle,5/19/2020,3,0
Lake,5/19/2020,1,0
Lake of the Woods,5/19/2020,0,0
Le Sueur,5/19/2020,36,1
Lincoln,5/19/2020,4,0
Lyon,5/19/2020,26,0
McLeod ,5/19/2020,18,0
Mahnomen ,5/19/2020,5,1
Marshall ,5/19/2020,8,0
Martin ,5/19/2020,123,5
Meeker,5/19/2020,38,0
Mille Lacs ,5/19/2020,13,1
Morrison ,5/19/2020,29,0
Mower ,5/19/2020,72,0
Murray ,5/19/2020,33,0
Nicollet,5/19/2020,43,3
Nobles,5/19/2020,"1,394",2
Norman,5/19/2020,11,0
Olmsted,5/19/2020,479,10
Otter Tail,5/19/2020,51,0
Pennington,5/19/2020,3,0
Pine,5/19/2020,83,0
Pipestone,5/19/2020,10,0
Polk,5/19/2020,56,2
Pope,5/19/2020,5,0
Ramsey,5/19/2020,"1,720",74
Red Lake,5/19/2020,3,0
Redwood,5/19/2020,3,0
Renville,5/19/2020,5,0
Rice,5/19/2020,270,2
Rock,5/19/2020,20,0
Roseau,5/19/2020,1,0
St. Louis ,5/19/2020,107,13
Scott ,5/19/2020,271,1
Sherburne ,5/19/2020,164,2
Sibley ,5/19/2020,10,0
Stearns ,5/19/2020,"1,782",10
Steele ,5/19/2020,115,0
Stevens,5/19/2020,0,0
Swift,5/19/2020,13,0
Todd,5/19/2020,87,0
Traverse,5/19/2020,3,0
Wabasha,5/19/2020,16,0
Wadena,5/19/2020,6,0
Waseca,5/19/2020,21,0
Washington,5/19/2020,398,19
Watonwan,5/19/2020,41,0
Wilkin,5/19/2020,11,3
Winona,5/19/2020,75,15
Wright,5/19/2020,182,1
Yellow Medicine,5/19/2020,4,0
Unknown/missing,5/19/2020,35,0
Aitkin,5/20/2020,4,0
Anoka,5/20/2020,955,45
Becker,5/20/2020,32,0
Beltrami,5/20/2020,9,0
Benton,5/20/2020,148,2
Big Stone,5/20/2020,3,0
Blue Earth,5/20/2020,98,1
Brown,5/20/2020,10,2
Carlton,5/20/2020,70,0
Carver,5/20/2020,131,2
Cass,5/20/2020,11,2
Chippewa,5/20/2020,36,0
Chisago,5/20/2020,38,1
Clay,5/20/2020,328,21
Clearwater,5/20/2020,2,0
Cook,5/20/2020,0,0
Cottonwood,5/20/2020,59,0
Crow Wing,5/20/2020,38,1
Dakota,5/20/2020,885,31
Dodge,5/20/2020,40,0
Douglas,5/20/2020,24,0
Faribault,5/20/2020,10,0
Fillmore,5/20/2020,17,1
Freeborn,5/20/2020,67,0
Goodhue,5/20/2020,38,0
Grant,5/20/2020,2,0
Hennepin,5/20/2020,"5,838",485
Houston,5/20/2020,2,0
Hubbard,5/20/2020,0,0
Isanti,5/20/2020,20,0
Itasca,5/20/2020,50,6
Jackson,5/20/2020,36,0
Kanabec,5/20/2020,9,1
Kandiyohi,5/20/2020,426,1
Kittson,5/20/2020,1,0
Koochiching,5/20/2020,5,0
Lac qui Parle,5/20/2020,3,0
Lake,5/20/2020,1,0
Lake of the Woods,5/20/2020,0,0
Le Sueur,5/20/2020,36,1
Lincoln,5/20/2020,4,0
Lyon,5/20/2020,26,0
McLeod ,5/20/2020,19,0
Mahnomen ,5/20/2020,5,1
Marshall ,5/20/2020,8,0
Martin ,5/20/2020,123,5
Meeker,5/20/2020,40,0
Mille Lacs ,5/20/2020,15,1
Morrison ,5/20/2020,31,0
Mower ,5/20/2020,78,1
Murray ,5/20/2020,33,0
Nicollet,5/20/2020,44,3
Nobles,5/20/2020,"1,396",2
Norman,5/20/2020,11,0
Olmsted,5/20/2020,488,10
Otter Tail,5/20/2020,51,0
Pennington,5/20/2020,3,0
Pine,5/20/2020,83,0
Pipestone,5/20/2020,10,0
Polk,5/20/2020,57,2
Pope,5/20/2020,6,0
Ramsey,5/20/2020,"1,846",80
Red Lake,5/20/2020,3,0
Redwood,5/20/2020,3,0
Renville,5/20/2020,5,0
Rice,5/20/2020,295,2
Rock,5/20/2020,20,0
Roseau,5/20/2020,1,0
St. Louis ,5/20/2020,110,13
Scott ,5/20/2020,291,2
Sherburne ,5/20/2020,178,1
Sibley ,5/20/2020,11,0
Stearns ,5/20/2020,"1,831",11
Steele ,5/20/2020,116,0
Stevens,5/20/2020,0,0
Swift,5/20/2020,13,0
Todd,5/20/2020,110,0
Traverse,5/20/2020,3,0
Wabasha,5/20/2020,16,0
Wadena,5/20/2020,6,0
Waseca,5/20/2020,22,0
Washington,5/20/2020,414,21
Watonwan,5/20/2020,42,0
Wilkin,5/20/2020,11,3
Winona,5/20/2020,75,15
Wright,5/20/2020,198,1
Yellow Medicine,5/20/2020,5,0
Unknown/missing,5/20/2020,32,0
Aitkin,5/21/2020,4,0
Anoka,5/21/2020,995,49
Becker,5/21/2020,33,0
Beltrami,5/21/2020,9,0
Benton,5/21/2020,152,2
Big Stone,5/21/2020,3,0
Blue Earth,5/21/2020,104,1
Brown,5/21/2020,10,2
Carlton,5/21/2020,71,0
Carver,5/21/2020,138,2
Cass,5/21/2020,10,2
Chippewa,5/21/2020,37,0
Chisago,5/21/2020,39,1
Clay,5/21/2020,344,22
Clearwater,5/21/2020,2,0
Cook,5/21/2020,0,0
Cottonwood,5/21/2020,59,0
Crow Wing,5/21/2020,38,1
Dakota,5/21/2020,929,32
Dodge,5/21/2020,40,0
Douglas,5/21/2020,24,0
Faribault,5/21/2020,11,0
Fillmore,5/21/2020,17,1
Freeborn,5/21/2020,73,0
Goodhue,5/21/2020,40,1
Grant,5/21/2020,2,0
Hennepin,5/21/2020,"6,029",502
Houston,5/21/2020,2,0
Hubbard,5/21/2020,0,0
Isanti,5/21/2020,20,0
Itasca,5/21/2020,51,6
Jackson,5/21/2020,36,0
Kanabec,5/21/2020,10,1
Kandiyohi,5/21/2020,428,1
Kittson,5/21/2020,1,0
Koochiching,5/21/2020,4,0
Lac qui Parle,5/21/2020,3,0
Lake,5/21/2020,1,0
Lake of the Woods,5/21/2020,0,0
Le Sueur,5/21/2020,38,1
Lincoln,5/21/2020,4,0
Lyon,5/21/2020,28,0
McLeod ,5/21/2020,21,0
Mahnomen ,5/21/2020,5,1
Marshall ,5/21/2020,8,0
Martin ,5/21/2020,124,5
Meeker,5/21/2020,40,0
Mille Lacs ,5/21/2020,14,1
Morrison ,5/21/2020,32,0
Mower ,5/21/2020,87,1
Murray ,5/21/2020,33,0
Nicollet,5/21/2020,51,3
Nobles,5/21/2020,"1,414",2
Norman,5/21/2020,11,0
Olmsted,5/21/2020,493,10
Otter Tail,5/21/2020,52,0
Pennington,5/21/2020,4,0
Pine,5/21/2020,83,0
Pipestone,5/21/2020,10,0
Polk,5/21/2020,57,2
Pope,5/21/2020,6,0
Ramsey,5/21/2020,"1,925",86
Red Lake,5/21/2020,3,0
Redwood,5/21/2020,3,0
Renville,5/21/2020,5,0
Rice,5/21/2020,307,2
Rock,5/21/2020,20,0
Roseau,5/21/2020,1,0
St. Louis ,5/21/2020,109,13
Scott ,5/21/2020,298,2
Sherburne ,5/21/2020,183,1
Sibley ,5/21/2020,12,0
Stearns ,5/21/2020,"1,853",11
Steele ,5/21/2020,122,0
Stevens,5/21/2020,0,0
Swift,5/21/2020,14,0
Todd,5/21/2020,116,0
Traverse,5/21/2020,3,0
Wabasha,5/21/2020,16,0
Wadena,5/21/2020,6,0
Waseca,5/21/2020,22,0
Washington,5/21/2020,431,23
Watonwan,5/21/2020,42,0
Wilkin,5/21/2020,11,3
Winona,5/21/2020,75,15
Wright,5/21/2020,200,1
Yellow Medicine,5/21/2020,5,0
Unknown/missing,5/21/2020,34,0
